underlying,upx,type,expiration,data_date,strike,bid,ask,implied_vol,delta,dly_opt_pnl,dly_dh_pnl
SPY,278.9700012207031,call,2018-06-15,2018-06-12,275,3.950000047683716,4.079999923706055,0.17098088678748352,0.733142633246213,-0.15999984741210938,0.2739790599414652
SPY,278.010009765625,call,2018-06-15,2018-06-13,275,3.2200000286102295,3.25,0.183239586745906,0.7041889547454128,0.8299999237060547,-0.7038106632698401
SPY,278.67999267578125,call,2018-06-15,2018-06-14,275,3.6600000858306885,3.930000066757202,0.27869098603455233,0.7346066401115601,-0.6800000667572021,0.47179456520021945
SPY,277.0299987792969,call,2018-06-15,2018-06-15,275,2.029998779296875,2.029998779296875,0,1,1.9000012874603271,-1.212096472500968
SPY,277.0299987792969,call,2018-07-20,2018-06-15,281,1.4800000190734863,1.5099999904632568,0.08284847082281578,0.32616607411198034,-0.029999971389770508,0
SPY,276.5899963378906,call,2018-07-20,2018-06-18,281,1.2100000381469727,1.2200000286102295,0.08011540355513268,0.2918798800245435,0.28999996185302734,-0.14351386891316323
SPY,275.4800109863281,call,2018-07-20,2018-06-19,281,0.8600000143051147,0.8799999952316284,0.08270833444559515,0.22581073747714486,0.3400000333786011,-0.3239823912430633
SPY,276.010009765625,call,2018-07-20,2018-06-20,281,0.9200000166893005,0.949999988079071,0.08039607638489109,0.247824330098669,-0.06999999284744263,0.11967941521501388
SPY,274.239990234375,call,2018-07-20,2018-06-21,281,0.6200000047683716,0.6399999856948853,0.08652669426124454,0.17646228502175626,0.3100000023841858,-0.4386539045935914
SPY,274.760009765625,call,2018-07-20,2018-06-22,281,0.6600000262260437,0.6700000166893005,0.0824149233986191,0.19464800653930336,-0.030000030994415283,0.09176383474031759
SPY,271.07000732421875,call,2018-07-20,2018-06-25,281,0.25999999046325684,0.2800000011920929,0.09734191690821273,0.08447567952279855,0.39000001549720764,-0.7182516193448891
SPY,271.5799865722656,call,2018-07-20,2018-06-26,281,0.27000001072883606,0.28999999165534973,0.09107555546738191,0.09395766209486778,-0.009999990463256836,0.0430808435212856
SPY,269.79998779296875,call,2018-07-20,2018-06-27,281,0.20000000298023224,0.2199999988079071,0.10474649085700544,0.0676956046222667,0.06999999284744263,-0.1672445238344529
